Issue,Subject,Company,Response,Product Area,Status,Request Type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I am sorry, but as a non-admin, I cannot restore your access to the Claude team workspace. According to the Claude Console Roles and Permissions article, only organization Admins can manage Console members and invitations. Please contact your IT admin or an Admin within your organization to invite you back to the workspace.",,Replied,invalid
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank does not participate in hiring decisions. The HackerRank team is not authorized to review your answers, increase your score, or tell the company to move you to the next round. We redirect such requests to your recruiter or hiring team to ensure your organization retains full decision control. Please contact your recruiter for further assistance.",screen,Replied,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"To address your concern about the incorrect product and the merchant ignoring your emails, please fill out the form at /Forms/visa-rules.html to initiate the dispute resolution process. Unfortunately, we cannot immediately refund you or ban the seller. However, by following the dispute resolution process, you can work towards resolving the issue. ",general_support,Replied,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"To troubleshoot the issue with your mock interviews, please try the following steps: 1. Check your internet connection to ensure it's stable. 2. Clear your browser cache and try accessing the interview again. 3. If the issue persists, please provide more details about the error you're experiencing, such as any error messages or screenshots. Regarding your request for a refund, please note that refunds are handled on a case-by-case basis. If you've experienced a technical issue that prevented you from completing your mock interview, please provide as much detail as possible so we can assist you further.",screen,Replied,product_issue
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"I'm sorry, but I couldn't find any information about refunding or returning money to users. If you're experiencing issues with a payment, I recommend checking the 'Manage Billing' section in HackerRank for Work to update your payment methods or billing information. You can also try downloading an invoice to review your payment history. If you have any further questions or concerns, please let me know and I'll do my best to assist you.",screen,Replied,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I'm happy to help you with using HackerRank for hiring. However, I must inform you that I'm not capable of filling in forms or handling infosec processes for your company. For assistance with infosec processes, I recommend reaching out to your company's IT department or a relevant professional. If you need help with creating tests or using the HackerRank platform, I'd be more than happy to guide you through the process.",,Replied,invalid
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"To practice and submit challenges, ensure you are in the correct tab. If you cannot see the 'Apply' tab, try the following steps: 1. Log in to your HackerRank account. 2. Navigate to the SkillUp section or the specific challenge you want to practice. 3. Check if there are any available practice challenges or assessments that you can start. If issues persist, consider reaching out to HackerRank support for further assistance.",screen,Replied,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I apologize for the inconvenience you're experiencing with submissions not working across any challenges on our website. Can you please try clearing your browser's cache and cookies, then attempt to submit again? If the issue persists, please contact our support team at support@hackerrank.com for further assistance.",screen,Replied,product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the zoom connectivity issue, ensure you have a stable internet connection with a minimum bandwidth of 5 Mbps. Also, verify that your system meets the minimum technical requirements, including 4 GB of RAM and an updated operating system. Try using a supported web browser, such as Google Chrome or Microsoft Edge, and manage browser extensions to prevent compatibility issues. If the issue persists, refer to the knowledge base articles for troubleshooting test login errors or contact support for further assistance.",screen,Replied,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment, please follow these steps: 1. Log in to your HackerRank for Work account. 2. Go to the Interviews > Interview List. 3. Click the interview you want to reschedule. 4. Click Invite Participants. 5. Update the Date, Time, Interview Duration, and Time zone fields as needed. 6. Click Save and Send Email. Note: Make sure you have created and scheduled an interview that has not yet been conducted. If you need further assistance, you can submit a support request on the platform using this form: https://portal.usepylon.com/hackerrank-support/forms/customer-request-form",screen,Replied,product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"To address the issue of candidates being sent back to the HR lobby after 20 minutes of inactivity, you can extend the inactivity times for both interviewers and candidates. This will allow them to collaborate without being kicked out of the room. You can do this by adjusting the inactivity settings in your HackerRank account. Please note that inactivity times can be different for candidates and interviewers.",screen,Replied,product_issue
"it’s not working, help",Help needed,None,"I am sorry, this is out of scope from my capabilities",conversation_management,Replied,invalid
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer from the platform, you cannot directly delete them from the interviewer list. However, you can remove them from a specific test or interview by following these steps: Log in to your HackerRank for Work account, go to the Tests tab, select the test you want to modify, go to the Interviewers tab, and click the 'X' next to the interviewer's name to remove them. Alternatively, if you want to delete an entire interview, you can do so by going to the Interviews > Interview List, clicking the more options menu next to the interview, and then clicking Delete Interview.",screen,Replied,product_issue
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"To pause your subscription, follow these steps: 1. Log in to your HackerRank for Work account. 2. Click on the profile icon in the top-right corner and select Settings. 3. Navigate to the Billing section under Subscription. 4. Click the Cancel Plan button and select the desired pause duration (minimum 1 month, maximum 12 months). 5. Click Confirm Pause.",community,Replied,product_issue
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"To troubleshoot the issue with Claude not responding, please try the following steps: 1. Disable any browser extensions that you currently have active. 2. Clear your browser’s cache and cookies. 3. Check the Claude status page for active incidents. If you're still seeing an error, try again in a few minutes. If the issue persists, consider reaching out to the support team for further assistance.",,Replied,bug
"My identity has been stolen, wat should I do",Identity Theft,Visa,"To address the identity theft, visit our Lost or Stolen card page if it involves your Visa card, to learn how to cancel your card or get an emergency replacement card. Additionally, contact your issuer or bank to report the incident and potentially dispute any unauthorized charges.",general_support,Replied,product_issue
Resume Builder is Down,Help in creating resume,HackerRank,The issue you've reported is related to the Resume Builder being down. I'm going to escalate this issue as it seems like a technical problem that requires immediate attention. Please try to use the feature again later or contact our support team for further assistance.,screen,Replied,bug
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update,HackerRank,"To update your name on the certificate, please follow these steps: 1. Log in to your HackerRank account. 2. Click on your name in the top right corner and select 'My Profile'. 3. Click on the 'Edit Profile' button. 4. Update your name in the 'Name' field. 5. Click 'Save Changes'. Your updated name will be reflected on your certificate.",community,Replied,product_issue
